Order_ID,Agent_Age,Agent_Rating,Store_Latitude,Store_Longitude,Drop_Latitude,Drop_Longitude,Order_Date,Order_Time,Pickup_Time,Weather,Traffic,Vehicle,Area,Delivery_Time,Category,AgentRating_MinMax,Distance_in_km,Distance_in_km_log,Distance_Log_Z,Delay_Group
ialx566343618,37,4.9,22.745049,75.892471,22.765049,75.912471,2022-03-19,11:30:00,11:45:00,Sunny,High ,motorcycle ,Urban ,120,Clothing,0.78,3.0251492856773803,1.3925619997920111,-1.1218277883816106,60–120 days
akqg208421122,34,4.5,12.913041,77.683237,13.043041,77.813237,2022-03-25,19:45:00,19:50:00,Stormy,Jam ,scooter ,Metropolitian ,165,Electronics,0.7,20.18352972873287,3.0532239801470134,1.0931835393751141,120–180 days
njpu434582536,23,4.4,12.914264,77.6784,12.924264,77.6884,2022-03-19,08:30:00,08:45:00,Sandstorms,Low ,motorcycle ,Urban ,130,Sports,0.68,1.5527578022553539,0.937174265860691,-1.7292295360652126,120–180 days
rjto796129700,38,4.7,11.003669,76.976494,11.053669,77.026494,2022-04-05,18:00:00,18:10:00,Sunny,Medium ,motorcycle ,Metropolitian ,105,Cosmetics,0.74,7.790401360105807,2.173660371645076,-0.07998919496898967,60–120 days
zguw716275638,32,4.6,12.972793,80.249982,13.012793,80.289982,2022-03-26,13:30:00,13:45:00,Cloudy,High ,scooter ,Metropolitian ,150,Toys,0.72,6.210137965623703,1.975488086429134,-0.3443138208070017,120–180 days
fxuu788413734,22,4.8,17.431668,78.408321,17.461668,78.438321,2022-03-11,21:20:00,21:30:00,Cloudy,Jam ,motorcycle ,Urban ,130,Toys,0.76,4.610365144356333,1.7246158055370235,-0.6789303475714682,120–180 days
njmo150975311,33,4.7,23.369746,85.33982,23.479746,85.44982,2022-03-04,19:15:00,19:30:00,Fog,Jam ,scooter ,Metropolitian ,200,Toys,0.74,16.600361127913082,2.867919420465027,0.846022043757066,180–270 days
jvjc772545076,35,4.6,12.352058,76.60665,12.482058,76.73665,2022-03-14,17:25:00,17:30:00,Cloudy,Medium ,motorcycle ,Metropolitian ,160,Snacks,0.72,20.20525323529313,3.0542489450996757,1.0945506502065523,120–180 days
uaeb808891380,22,4.8,17.433809,78.386744,17.563809,78.516744,2022-03-20,20:55:00,21:05:00,Stormy,Jam ,motorcycle ,Metropolitian ,170,Electronics,0.76,19.97552008622187,3.043356047574918,1.080021569818818,120–180 days
bgvc052754213,36,4.2,30.327968,78.046106,30.397968,78.116106,2022-02-12,21:55:00,22:10:00,Fog,Jam ,motorcycle ,Metropolitian ,230,Toys,0.64,10.280582064622465,2.4230828462122256,0.2526935623283424,180–270 days
vmau710398846,21,4.7,10.003064,76.307589,10.043064,76.347589,2022-02-13,14:55:00,15:05:00,Stormy,High ,motorcycle ,Metropolitian ,115,Cosmetics,0.74,6.242318682700942,1.9799414151668913,-0.3383739162887756,60–120 days
lcwn330553507,23,4.7,18.56245,73.916619,18.65245,74.006619,2022-03-04,17:30:00,17:40:00,Sandstorms,Medium ,scooter ,Metropolitian ,105,Shoes,0.74,13.787860239172238,2.6938065900676094,0.6137882139950204,60–120 days
wcjs752046999,34,4.3,30.899584,75.809346,30.919584,75.829346,2022-02-13,09:20:00,09:30:00,Sandstorms,Low ,motorcycle ,Metropolitian ,100,Apparel,0.6599999999999999,2.930257800762021,1.3687050218879797,-1.153648518264386,60–120 days
blhl288691670,24,4.7,26.463504,80.372929,26.593504,80.502929,2022-02-14,19:50:00,20:05:00,Fog,Jam ,scooter ,Metropolitian ,205,Jewelry,0.74,19.39661829066188,3.0153691170432007,1.0426922584416514,180–270 days
zyvo118176215,29,4.5,19.176269,72.836721,19.266269,72.926721,2022-04-02,20:25:00,20:35:00,Sandstorms,Jam ,van,Metropolitian ,100,Outdoors,0.7,13.763977224427299,2.6921902425241413,0.6116323098069759,60–120 days
uhfs888375680,35,4.0,12.311072,76.654878,12.351072,76.694878,2022-03-01,14:55:00,15:10:00,Windy,High ,scooter ,Metropolitian ,33,Grocery,0.6,6.218001190187312,1.9765780711121477,-0.34285998586134914,30–60 days
vmfv999642595,33,4.2,18.592718,73.773572,18.702718,73.883572,2022-03-16,20:30:00,20:40:00,Sandstorms,Jam ,motorcycle ,Metropolitian ,200,Cosmetics,0.64,16.849939918016943,2.882000142282557,0.8648030833050137,180–270 days
qfgc848777135,34,4.9,17.426228,78.407495,17.496228,78.477495,2022-03-20,20:40:00,20:50:00,Cloudy,Jam ,motorcycle ,Metropolitian ,205,Snacks,0.78,10.757108800258175,2.464458061926155,0.3078803327722229,180–270 days
